model;dataset;scenario;time
FTTransformer;EmailSpam-bert;B;3206.63
FEAWAD;EmailSpam-bert;B;380.47
DevNet;EmailSpam-bert;B;12.89
FTTransformer;EmailSpam-bert;C;4733.54
FEAWAD;EmailSpam-bert;C;380.59
DevNet;EmailSpam-bert;C;12.92
FTTransformer;EmailSpam-bert;D;1705.5
FEAWAD;EmailSpam-bert;D;375.44
DevNet;EmailSpam-bert;D;13.09
FTTransformer;EmailSpam-bert;E;2007.66
FEAWAD;EmailSpam-bert;E;372.64
DevNet;EmailSpam-bert;E;12.98
AE;NSL-KDD;A;5.36
VAE;NSL-KDD;A;29.03
DeepSVDD;NSL-KDD;A;5.72
DAGMM;NSL-KDD;A;23.33
